Epoch 0, loss: 88.80449974536896
Epoch 1, loss: 9.41245938431133
Epoch 2, loss: 6.655747587030584
Epoch 3, loss: 5.714522811499509
Epoch 4, loss: 5.2457092079249295
Epoch 5, loss: 4.93065405162898
Epoch 6, loss: 4.691244003447619
Epoch 7, loss: 4.512860135598616
Epoch 8, loss: 4.410570551048625
Epoch 9, loss: 4.280168370767073
Epoch 10, loss: 4.188769072294235
Epoch 11, loss: 4.081644033843821
Epoch 12, loss: 4.01671331579035
Epoch 13, loss: 3.9497369825839996
Epoch 14, loss: 3.89187660000541
Epoch 15, loss: 3.8449479395693
Epoch 16, loss: 3.7784058153629303
Epoch 17, loss: 3.730884262106635
Epoch 18, loss: 3.6771128367293966
Epoch 19, loss: 3.6258749311620537
Epoch 20, loss: 3.5780084241520274
Epoch 21, loss: 3.533286213874817
Epoch 22, loss: 3.495640751990405
Epoch 23, loss: 3.453642037781802
Epoch 24, loss: 3.412168180400675
Epoch 25, loss: 3.373603257265958
Epoch 26, loss: 3.338972435756163
Epoch 27, loss: 3.300351058894938
Epoch 28, loss: 3.259926386854865
Epoch 29, loss: 3.2313158376650377
Epoch 30, loss: 3.1853600198572334
Epoch 31, loss: 3.149821695956317
Epoch 32, loss: 3.1208868541500787
Epoch 33, loss: 3.083930351517417
Epoch 34, loss: 3.0649789517576043
Epoch 35, loss: 3.034927102652463
Epoch 36, loss: 3.006231879646128
Epoch 37, loss: 2.991836033084176
Epoch 38, loss: 2.9692991457202216
Epoch 39, loss: 2.9394765252416786
Epoch 40, loss: 2.917304878885096
Epoch 41, loss: 2.9093838984316047
Epoch 42, loss: 2.8843658837405117
Epoch 43, loss: 2.8704433251510966
Epoch 44, loss: 2.856363529508764
Epoch 45, loss: 2.834724095734683
Epoch 46, loss: 2.8366458876566454
Epoch 47, loss: 2.818180959333073
Epoch 48, loss: 2.7972613952376624
Epoch 49, loss: 2.790523052215576
Epoch 50, loss: 2.770991699262099
Epoch 51, loss: 2.753785241733898
Epoch 52, loss: 2.7412808781320397
Epoch 53, loss: 2.736651211977005
Epoch 54, loss: 2.7225315299901096
Epoch 55, loss: 2.6982845582745294
Epoch 56, loss: 2.693845174529336
Epoch 57, loss: 2.688163708556782
Epoch 58, loss: 2.6894361701878635
Epoch 59, loss: 2.6764004095034166
Epoch 60, loss: 2.6713988212021915
Epoch 61, loss: 2.693582897836512
Epoch 62, loss: 2.6703228923407467
Epoch 63, loss: 2.6508481312881815
Epoch 64, loss: 2.6235516640273007
Epoch 65, loss: 2.6241776807741686
Epoch 66, loss: 2.6145069951360878
Epoch 67, loss: 2.612895266576247
Epoch 68, loss: 2.596260133114728
Epoch 69, loss: 2.591311075470664
Epoch 70, loss: 2.59552845900709
Epoch 71, loss: 2.5723077058792114
Epoch 72, loss: 2.5679738223552704
Epoch 73, loss: 2.5523423552513123
Epoch 74, loss: 2.5571708272803915
Epoch 75, loss: 2.5464906259016558
Epoch 76, loss: 2.537299175154079
Epoch 77, loss: 2.532517034899105
Epoch 78, loss: 2.5229568806561558
Epoch 79, loss: 2.5286450792442667
Epoch 80, loss: 2.520392669872804
Epoch 81, loss: 2.524790346622467
Epoch 82, loss: 2.5164689530025828
Epoch 83, loss: 2.5476835397156803
Epoch 84, loss: 2.5425907346335324
Epoch 85, loss: 2.496841609477997
Epoch 86, loss: 2.479199244217439
Epoch 87, loss: 2.468716718933799
Epoch 88, loss: 2.4799157191406596
Epoch 89, loss: 2.447948615659367
Epoch 90, loss: 2.4498966336250305
Epoch 91, loss: 2.435194519433108
Epoch 92, loss: 2.4309149519963698
Epoch 93, loss: 2.424110082062808
Epoch 94, loss: 2.424669710072604
Epoch 95, loss: 2.4215235737237064
Epoch 96, loss: 2.4168762537566097
Epoch 97, loss: 2.40514893152497
Epoch 98, loss: 2.3900764828378502
Epoch 99, loss: 2.3963856886733663
Prediction time per training sample: 0.0008905490239461264
Prediction time per validation sample: 0.0009064674377441406
Prediction time per test sample: 0.0009274482727050781
