postgre,sampling,mscn,mscn_bitmap,xgb,deepdb
1.0,1.0,1.0,1.0,1.0983452796936035,1.0
1.0114439700854518,1.0074208665668278,3.6692888422742436,1.655268306717579,1.002553682714493,1.0000000000000002
1.0909090909090908,12.0,1.2,1.5,1.018109526501616,1.0761746996043737
1.0,1.0,1.1011760560278376,1.1536333333333333,1.011170408286067,1.0000000000000004
6.8,1.0,1.0,1.0416666666666667,1.0005698036579789,1.0
1.015182755388941,5416.0,4.6810717372515125,1.7601559961000974,1.038692336777596,1.0003878374888107
1.0003847084442294,1.040006385155481,1.3623503176856713,1.8539081263196593,1.0920485258102417,1.00840454270566
1.0,1.0,1.1011760560278376,1.1536333333333333,1.0005698036579789,1.0000000000000004
1.0028543564615495,1.0299469565424229,1.0791365059807998,1.3288764559922874,1.8409499824817381,1.0000000000005742
1.0,1.2266666666666666,2.1778553333333335,1.2079687281055669,1.0005698036579789,1.0047364737552733
1.0042590743765247,1.223665107333425,1.0009263864665519,1.3851702811381124,1.0222279174428608,1.0106114733835898
1.0005818514889768,1.0000150067905726,3.03121787608893,1.011383212038885,1.0005698036579789,1.000000000000327
1.0018930124380625,1.0260687655343828,2.106197173517457,1.6463404294832715,1.0005698036579789,1.0000000000000018
1.0011733458490224,1.035900552486188,1.079497956128735,1.076881547509649,1.0802209377288818,1.0000000000009435
4.020609402747921,86033.0,14.15016447368421,3.422361186986389,1.0770178430327206,1.0059390933181425
1.0,1.0,2.0,1.0,1.003591288299436,1.0000000000000286
1.021505376344086,279.0,6.065217391304348,1.5627240143369177,1.0005698036579789,1.1675224246753761
1.0,21.0,2.625,10.5,1.0625388220876382,1.0183904534116786
1.0062230169280177,1.2143857142857142,1.1495759172774007,3.1936311127318926,1.0028585585830785,1.0826337314222947
1.000669750308713,1.0477850877192982,1.032629397852613,1.0596705665669017,1.0021287406608257,1.0000000000010707
1.0,1.0,5.0,2.0,1.1089253425598145,1.389499999999846
1.0,1.0,1.1011760560278376,1.1536333333333333,22.089298248291016,1.0000000000000004
1.001006643849406,1.0,1.8929115853658536,1.5121803905778135,1.0005698036579789,1.0000000000000768
1.0000226625911774,1.0086050420168067,1.6056045121194584,1.0331956112220608,1.0153147575832362,1.0
1.0,1.0,4.0,1.0,1.0714004039764404,1.0
1.0163917838712941,1.0371344733380552,2.3397753718506524,1.3362845289891734,1.0264577564609705,1.011599781181341
1.0052188890111953,1.1594576314857161,6.74831558356879,1.4734404400057894,1.0210279950091312,1.001420397405607
1.0,1.0,1.1154738532928787,1.17602,1.0196626784252043,1.0000000000000004
1.0,1.0,1.1011760560278376,1.1536333333333333,1.0096175418736217,1.0000000000000004
1.0011470932500977,1.0035308697787166,1.4538068420038754,1.5927301495748147,1.0005698036579789,1.0000929211725504
1.0037930339676266,1.3197260154525776,1.284586822957425,1.0426425636892593,1.00344071052802,1.0030014435188859
1.375,33.0,6.6,1.0909090909090908,1.0959067344665527,1.6327678345340086
1.0095193748817717,1.175884745762712,1.8737913896784535,1.3029120451924774,1.0056628891165047,1.000000000000103
1.0151245551601424,1.0,1.529490616621984,1.221627408993576,1.0005698036579789,1.0148717401360208
1.059411369740376,1.3732055900030633,2.8115886074069674,1.576049181886362,1.0180675972416835,1.0032110259637277
2.0,2.0,1.0,1.0,1.0005698036579789,1.3431243420846886
1.0,1.0,1.0,1.0,1.1108169555664062,1.0
1.0230729515740595,1.0067955565585898,1.8469557912685874,2.094639409212869,1.0041053857616662,1.0263510843958967
1.0632858340318525,1.2573344509639564,2.085664335664336,12.691489361702128,1.0005698036579789,1.0039535826732517
1.0001646662578634,1.1312656805557249,6.373277199487585,10.689080348081449,1.095706820487976,1.001497863459361
1.0,1.0,1.3783340172343044,2.0426754205990973,1.0005698036579789,1.0000000000000002
1.0016691575992067,1.0081924350705944,1.4969984312358375,1.0862814599380457,1.0921939611434937,1.0000000000006386
1.0,8.0,8.0,8.0,1.027190281109063,1.5003037500001035
1.0,1.0,1.0,1.0,1.011114482842515,1.0
1.031370575406811,1.2165306122448982,4.139583333333333,2.4101660795168596,1.0005698036579789,1.0000000000011298
1.8,9.0,2.25,1.125,1.011929708926889,1.4912628110806372
1.0,1.0,1.0,1.0,1.0005698036579789,1.0
3.4152542372881354,2.4813957803972704,1.3076923076923077,20.15,1.0005426493454084,1.0777216594882189
1.0052639332187576,1.1373444444444445,3.880726057775911,1.5222777430772434,1.0005698036579789,1.0002557322789352
1.0001433768336772,1.1856837030501324,4.219875402720224,1.2114708036033581,1.0005698036579789,1.001326247759821
1.0,1.0,1.0,1.0,1.0005698036579789,1.0
1.5454545454545454,11.0,1.1818181818181819,1.0,1.0005698036579789,1.181509085386554
1.015301996053185,1.0000592650576494,1.4793089008652336,1.052774819181611,1.006393539172395,1.0003705653504795
1.0,1.0,3.0,1.0,1.006518261687896,1.0
1.0,1.0,4.0,10.0,1.0402678622994372,1.0
6.8,1.0,1.0,1.0416666666666667,1.0005698036579789,1.0
1.0011483605352154,1.1015140678033313,1.1087473435152397,1.128023839701798,1.0112674052283686,1.0070865937217823
1.0052297075535472,1.2307692307692308,1.0308308625606097,1.2190309009095495,1.0005698036579789,1.0
1.0,1.0,1.0,1.0,1.1094233989715576,1.0
1.0573248407643312,1.0,2.4411764705882355,3.9523809523809526,1.0077547189710265,1.0548476285310757
1.0179802955665025,1.083743842364532,1.2519704433497536,3.4730538922155687,1.1089253425598145,1.0
1.0329555475716106,63252.0,2.873131955484897,1.2848524243840014,1.0714004039764404,1.0163529927806514
1.0057962672758218,1.0267527820172846,2.0795712767250705,1.575117221254232,1.0040280537280586,1.0000733183807966
6.8,1.0,1.0,1.0416666666666667,1.0005698036579789,1.0
6.8,1.0,1.0,1.0416666666666667,1.0091346768012264,1.0
1.0,1.0,1.5696123057604772,1.1107408641563923,1.0715559720993042,1.0
1.0,1.0,1.0,1.0,1.0869355201721191,1.0
1.0036769671424912,1.0011823461091753,1.3475588676802572,1.5800376854947504,1.0005698036579789,1.000000000000046
1.0011271259513956,3.7528986196295246,2.5159111281171826,1.7792112112491762,1.0042586584045334,1.0186896817031215
1.0045660848973865,1.0414839501841782,2.2352753783005577,1.0532198298544115,1.0696179581170198,1.0004377979460044
1.0,1.2266666666666666,1.157782614736257,1.0274506666666667,1.000708768900504,1.0047364737552733
