Epoch 0, loss: 333.0171960483898
Epoch 1, loss: 85.84225312146273
Epoch 2, loss: 69.38612807880749
Epoch 3, loss: 62.03778453306718
Epoch 4, loss: 56.99861110340465
Epoch 5, loss: 53.3362547267567
Epoch 6, loss: 51.38252052393827
Epoch 7, loss: 43.0594827261838
Epoch 8, loss: 37.28507869893854
Epoch 9, loss: 31.700557296926323
Epoch 10, loss: 29.502387610348787
Epoch 11, loss: 25.844530820846558
Epoch 12, loss: 21.994746598330412
Epoch 13, loss: 20.36481191895225
Epoch 14, loss: 18.258273764090106
Epoch 15, loss: 17.582752878015693
Epoch 16, loss: 28.230069333856758
Epoch 17, loss: 18.180032437497918
Epoch 18, loss: 16.60139973597093
Epoch 19, loss: 14.67805376919833
Epoch 20, loss: 13.71095416762612
Epoch 21, loss: 12.864976839585738
Epoch 22, loss: 12.096929837356914
Epoch 23, loss: 11.115015474232761
Epoch 24, loss: 10.55509778586301
Epoch 25, loss: 9.854142503304915
Epoch 26, loss: 9.22591524774378
Epoch 27, loss: 8.841609781438654
Epoch 28, loss: 17.35918616706675
Epoch 29, loss: 83.34089703993364
Epoch 30, loss: 16.130642338232562
Epoch 31, loss: 11.370921091599898
Epoch 32, loss: 9.350337147712708
Epoch 33, loss: 8.218022574077953
Epoch 34, loss: 7.511056471954692
Epoch 35, loss: 7.014800700274381
Epoch 36, loss: 6.6160128956491295
Epoch 37, loss: 6.287671053951437
Epoch 38, loss: 6.018413186073303
Epoch 39, loss: 5.817016506736929
Epoch 40, loss: 5.630962347442454
Epoch 41, loss: 5.459385641596534
Epoch 42, loss: 5.305629974061793
Epoch 43, loss: 5.168401233174584
Epoch 44, loss: 5.301920882680199
Epoch 45, loss: 13.072298082438381
Epoch 46, loss: 58.93009285493331
Epoch 47, loss: 11.993279923092235
Epoch 48, loss: 8.782475791194223
Epoch 49, loss: 7.73819806359031
Epoch 50, loss: 7.072781703688881
Epoch 51, loss: 6.627756357192993
Epoch 52, loss: 6.254721487110311
Epoch 53, loss: 5.985319256782532
Epoch 54, loss: 5.749583103440025
Epoch 55, loss: 5.525015633214604
Epoch 56, loss: 5.301450108939951
Epoch 57, loss: 5.1286217868328094
Epoch 58, loss: 4.998188343915072
Epoch 59, loss: 4.866644179279154
Epoch 60, loss: 4.732560897415334
Epoch 61, loss: 4.616416584361684
Epoch 62, loss: 4.510534037243236
Epoch 63, loss: 4.412577794356779
Epoch 64, loss: 4.320371514016932
Epoch 65, loss: 4.245027151974765
Epoch 66, loss: 4.167046771808104
Epoch 67, loss: 4.098625218326395
Epoch 68, loss: 4.034047175537456
Epoch 69, loss: 3.9716110094027086
Epoch 70, loss: 3.8854171444069254
Epoch 71, loss: 3.82920809767463
Epoch 72, loss: 3.770136857574636
Epoch 73, loss: 3.6958706704053013
Epoch 74, loss: 3.6213378635319797
Epoch 75, loss: 3.549649802121249
Epoch 76, loss: 3.4931803806261583
Epoch 77, loss: 3.421196070584384
Epoch 78, loss: 3.365148056637157
Epoch 79, loss: 3.2702472751790825
Epoch 80, loss: 3.2070134065367957
Epoch 81, loss: 3.1304797665639357
Epoch 82, loss: 3.068113562735644
Epoch 83, loss: 3.0507855225693095
Epoch 84, loss: 2.9452495981346476
Epoch 85, loss: 2.8874937919053165
Epoch 86, loss: 2.8598688515749844
Epoch 87, loss: 2.788156967271458
Epoch 88, loss: 2.748454584316774
Epoch 89, loss: 2.7115765755826775
Epoch 90, loss: 2.6467436497861687
Epoch 91, loss: 2.635189793326638
Epoch 92, loss: 2.5723104720765892
Epoch 93, loss: 2.5401774157177317
Epoch 94, loss: 152.95526822453195
Epoch 95, loss: 12.321921261874111
Epoch 96, loss: 8.05530297756195
Epoch 97, loss: 6.8312760970809245
Epoch 98, loss: 6.112951148640025
Epoch 99, loss: 5.591143981976942
Prediction time per training sample: 0.0009018792046440972
Prediction time per validation sample: 0.0009402990341186524
Prediction time per test sample: 0.0010851383209228517
