,pred,true
0,32703.2,32704
1,344464.0,344464
2,69105.75757575758,69109
3,1020.0,1020
4,15.819444444444445,15
5,3734.0,3734
6,25.0,25
7,66627.0,66627
8,1783.0,1783
9,1.0,1
10,1.0,1
11,2.0,2
12,22931.0,22931
13,31048.25,31048
14,24185.0,24185
15,56631.0,56631
16,183082.875,183081
17,1.0,1
18,328.0,328
19,2320.0,2320
20,3280.4,3280
21,598.1666666666666,598
22,33408.333333333336,33408
23,5.077922077922078,10
24,120.0,120
25,43.0,43
26,14386.0,14386
27,363.0,363
28,343028.0,343028
29,67350.5,67350
30,1.0,1
31,140.0,140
32,2.0,2
33,3.5875000000000004,3
34,10.36111111111111,13
35,1.0,1
36,139722.33333333334,139720
37,102.0,102
38,4.0,4
39,6620.0,6620
40,67677.33333333334,67678
41,364609.06666666665,364607
42,1.0,1
43,1.0,1
44,15.07889822595705,14
45,309.0,309
46,6624.866666666667,6628
47,5.0,5
48,2.0,2
49,9.0,9
50,100367.86666666667,100368
51,3.0,3
52,16.625,20
53,59474.0,59474
54,66520.92857142857,66522
55,1.0,1
56,52435.375,52434
57,14938.0,14938
58,37800.0,37800
59,10024.0,10024
60,34.0,34
61,262814.6666666666,262816
62,75444.0,75444
63,2.0,2
64,33317.0,33316
65,22101.666666666668,22102
66,1.0,1
67,4801.0,4801
68,23646.333333333336,23646
69,130906.46666666667,130904
70,366898.79545454547,366899
71,33.0,33
72,1.0,1
73,1659.0,1659
74,3.0,3
75,3.0,3
76,1.5,1
77,1.5,2
78,1843.0,1843
79,151451.73684210525,151452
80,107.33333333333333,107
81,415126.0,415126
82,3.0,3
83,1.25,1
84,231992.95238095237,231996
85,585.0,585
86,1.0,1
87,5.0,5
88,30017.5,30017
89,41.0,41
90,108.0,108
91,1.0,1
92,401086.39285714284,401086
93,1.0,1
94,1.1428571428571428,1
95,7.485714285714286,8
96,353417.4142857143,353421
97,1.0,1
98,2220.0,2220
99,16.592261904761905,19
100,10.595238095238095,11
101,1.0,1
102,1.0,1
103,1.0,1
104,305038.98901098897,305039
105,2.0,3
106,379023.0,379023
107,8463.0,8463
108,85.0,85
109,8.666666666666666,8
110,17.333333333333336,17
111,8.0,8
112,72.0,72
113,169780.9393939394,169784
114,52930.57142857143,52930
115,3.125,4
116,1.0,1
117,349183.8,349183
118,275693.4166666667,275692
119,1.0,1
120,28872.0,28872
121,310807.0,310807
122,16146.0,16146
123,1.0,1
124,1.0,1
125,8.0,8
126,21951.666666666668,21951
127,73049.25,73048
128,1.3333333333333333,1
129,872.0,872
130,2643.0,2643
131,1.0,1
132,7.0,7
133,298110.35476190475,298110
134,6.066666666666666,9
135,70.0,70
136,1.0,1
137,72992.02597402598,72992
138,12.0,12
139,19464.666666666668,19464
140,127260.85,127258
141,1.0,1
142,241.0,241
143,1662.0,1663
144,295081.0,295081
145,3.0,3
146,8.566666666666666,7
147,1513.0,1513
148,1.0,1
149,13.707936507936505,15
150,10668.0,10668
151,13.0,13
152,1.0,1
153,276896.39246031747,276889
154,61911.0,61911
155,30.0,30
156,10546.0,10546
157,225139.80952380953,225140
158,1.0,1
159,1.0,1
160,488.0,488
161,71217.0,71218
162,1428.0,1428
163,2.0,2
164,802.0,802
165,294516.89999999997,294515
166,1.0,1
167,536.0,536
168,1.5,2
169,9.0,9
170,4.140350877192982,4
171,55956.375,55958
172,31984.0,31984
173,297577.1777777778,297576
174,14.734343434343433,16
175,18678.0,18678
176,2.0,2
177,392822.2272727273,392822
178,1.0,1
179,32.0,32
180,124019.40476190478,124018
181,184654.73333333334,184652
182,324.0,324
183,9952.75,9953
184,68528.95,68531
185,298405.23333333334,298405
186,5.0,5
187,23501.0,23501
188,5.433333333333334,4
189,3735.0,3735
190,12186.0,12186
191,140678.7778456837,140676
192,2.0,2
193,485.0,485
194,225691.0606060606,225694
195,359240.0,359240
196,1.0,1
197,4581.0,4581
198,572.0,572
199,14384.25,14383
200,122765.62929292928,122763
201,4.717948717948717,5
202,297898.4120879121,297896
203,20.38888888888889,19
204,4.800000000000001,6
205,14.438822751322752,15
206,23031.0,23031
207,9941.666666666668,9941
208,183957.81904761906,183959
209,427.0,427
210,1.0,1
211,10666.0,10666
212,28304.597402597403,28305
213,221795.42948717947,221791
214,60.0,60
215,50579.6,50579
216,330.0,330
217,303677.125,303677
218,48185.25,48188
219,7.0,7
220,8856.0,8856
221,14.501785714285713,15
222,184223.975,184220
223,305823.0,305823
224,11.143939393939394,13
225,1.0,1
226,24167.166666666668,24166
227,7.4523809523809526,9
228,734.0,734
229,12678.0,12678
230,53.333333333333336,53
231,57524.703349282296,57524
232,269142.5555555555,269142
233,7.2142857142857135,6
234,199498.83333333334,199502
235,5.5,5
236,425083.0,425083
237,7.0,7
238,52330.0,52330
239,100.0,100
240,1.0,1
241,10465.0,10465
242,2.0,2
243,5827.0,5827
244,597.0,597
245,1.0,1
246,3.0,3
247,15.575,14
248,365.0,365
249,71351.0,71351
250,3911.0,3911
251,5.0,5
252,48533.3,48533
253,302152.358974359,302153
254,1.4230769230769231,3
255,59317.117647058825,59317
256,1.0,1
257,2.0,2
258,3.0,3
259,282429.6826923077,282432
260,80012.5,80013
261,11.0,11
262,35627.0,35627
263,22.554761904761907,19
264,1.0,1
265,13.0,13
266,225470.3282828283,225472
267,17536.0,17536
268,2.6818181818181817,2
269,4080.0,4080
270,4.0,4
271,560.0,560
272,5.0,5
273,250292.83333333334,250294
274,3.0,3
275,416.0,416
276,13.577586206896552,18
277,3.0,3
278,305451.0714285714,305450
279,13342.333333333334,13342
280,2.0,2
281,333001.8,333006
282,2899.0,2899
283,2.0,2
284,19608.0,19608
285,131.0,131
286,80.0,80
287,10.919786096256683,10
288,125619.9407051282,125621
289,400241.0,400241
290,71002.84761904762,71001
291,68543.5,68544
292,284624.11111111107,284625
293,2521.5,2522
294,102.0,102
295,28566.5,28566
296,7.0,7
297,1.0,1
298,11.0,11
299,16076.0,16076
300,8591.0,8591
301,157136.0,157137
302,2.8692307692307697,3
303,38246.0,38246
304,2.0,2
305,16110.0,16110
306,66171.575,66171
307,78.0,78
308,469.0,469
309,3.0,3
310,123195.38888888889,123199
311,300023.18571428576,300023
312,359.0,359
313,1.0,1
314,15795.0,15795
315,214600.32142857142,214601
316,1.0,1
317,1.0,1
318,122981.84126984127,122983
319,30414.571428571428,30416
320,10240.2,10241
321,2.0,2
322,2.25,2
323,9.666666666666666,9
324,12.98095238095238,14
325,1.0,1
326,19.0,19
327,910.0,910
328,210148.4,210149
329,158832.0,158832
330,9.0,9
331,363.0,363
332,356094.0,356094
333,264776.6,264777
334,1.5,1
335,52953.80357142857,52948
336,8.0,8
337,134658.47936507934,134657
338,1.0,1
339,3.888888888888889,4
340,5333.303030303031,5332
341,35712.2,35714
342,7259.4,7259
343,3.0,3
344,8.0,8
345,250981.5,250977
346,331298.19999999995,331295
347,263340.6,263341
348,111.0,111
349,800.0,800
350,1.5,1
351,39.0,39
352,433.0,433
353,3438.5,3438
354,1.0,1
355,2.0,2
356,87.0,87
357,72965.35576923077,72967
358,1.0,1
359,2.8692307692307697,2
360,8824.0,8824
361,1.4545454545454546,1
362,23050.333333333332,23050
363,263847.0,263847
364,2.0,2
365,5758.0,5758
366,308950.93055555556,308953
367,221915.61083743843,221914
368,31845.6,31848
369,577.0,577
370,3.0,3
371,685.0,685
372,20148.0,20148
373,3.0,3
374,5638.0,5638
375,68395.0,68396
376,1060.3333333333335,1061
377,2.0,2
378,16211.0,16211
379,6.0,5
380,126712.36025641025,126711
381,1.5,1
382,130.0,130
383,48330.0,48330
384,28303.8,28303
385,17.30258620689655,18
386,10.1,10
387,398.0,398
388,10.416666666666666,9
389,60258.833333333336,60260
390,47957.8,47958
391,71539.375,71541
392,4.0,4
393,12166.42857142857,12168
394,165.0,165
395,8.723684210526315,7
396,10.308333333333334,12
397,18428.0,18428
398,4007.5,4008
399,47654.0,47654
400,92734.33333333333,92735
401,4.87037037037037,5
402,100470.66666666667,100471
403,93103.67961570594,93109
404,91904.0,91904
405,17727.0,17727
406,68680.0,68679
407,393215.6,393217
408,1199.0,1199
409,23638.0,23638
410,3322.0,3322
411,45286.09090909091,45287
412,14951.0,14951
413,45.0,45
414,111.0,111
415,26.0,26
416,55624.700000000004,55625
417,213118.0,213118
418,710.0,710
419,16.7,17
420,11636.0,11636
421,15.891203703703704,16
422,8.0,8
423,143657.0,143657
424,236993.42526101353,236994
425,497.0,497
426,2686.0,2686
427,136.0,136
428,602.0,602
429,11.0,11
430,6.0,6
431,16119.0,16119
432,17.099999999999998,17
433,2.0,2
434,9629.0,9629
435,339.0,339
436,169.0,169
437,27893.797979797982,27893
438,6396.666666666667,6396
439,331606.0784313726,331601
440,176.0,176
441,143.0,143
442,511.0,511
443,76234.42857142857,76233
444,7.0,7
445,116.0,116
446,3.0,2
447,2.0,2
448,268285.80555555556,268284
449,13.0,13
450,103632.40952380953,103632
451,3.0,3
452,4.0,4
453,448.0,448
454,30278.5,30278
455,10426.555555555555,10427
456,225.0,225
457,1.0,1
458,10120.0,10120
459,99722.33333333333,99727
460,143355.09523809527,143352
461,28.455882352941178,28
462,1.0,1
463,3722.0,3722
464,21897.0,21897
465,49748.455555555556,49750
466,1.25,1
467,466.0,466
468,19.515151515151516,21
469,242102.5,242102
470,1.3333333333333333,1
471,3.0,3
472,6192.0,6192
473,138949.42222222223,138946
474,1.0,1
475,261804.0,261804
476,1.0,1
477,3.0,3
478,4.0,4
479,3.0,3
480,28454.0,28456
481,24.0,24
482,1.0,1
483,3.1818181818181817,3
484,353360.0,353360
485,10657.0,10657
486,546.0,546
487,1.0,1
488,3.0,3
489,348.0,348
490,32216.0,32216
491,9.415686274509804,10
492,6.833333333333333,7
493,2.0,2
494,125.0,125
495,2.0,2
496,492.0,492
497,1.0,1
498,3.0,3
499,66613.3,66612
